id,split,label,amount,hour,n_prior_txns,distance_km,device_age_days,prediction
txn_00000,train,legitimate,131.93,13,12,1.7,1210,legitimate
txn_00001,test,legitimate,26.5,8,14,73.1,1026,legitimate
txn_00002,test,legitimate,18.1,11,16,56.1,552,legitimate
txn_00003,test,legitimate,19.71,21,10,15.2,412,legitimate
txn_00004,test,legitimate,20.42,19,7,17.0,1218,legitimate
txn_00005,train,legitimate,102.13,21,10,2.1,121,legitimate
txn_00006,test,legitimate,40.93,22,12,35.5,1170,legitimate
txn_00007,train,legitimate,78.01,19,17,38.2,1382,legitimate
txn_00008,train,legitimate,1.12,13,16,7.1,1278,legitimate
txn_00009,test,legitimate,35.17,4,11,40.6,269,legitimate
txn_00010,train,legitimate,73.21,11,7,79.6,1130,legitimate
txn_00011,train,legitimate,182.69,22,14,49.2,1109,legitimate
txn_00012,train,legitimate,26.15,5,9,47.1,1123,legitimate
txn_00013,train,legitimate,4.56,3,10,2.6,664,legitimate
txn_00014,train,legitimate,45.77,17,9,90.6,1259,legitimate
txn_00015,train,legitimate,13.95,22,11,4.4,492,legitimate
txn_00016,train,fraud,5.44,0,11,15.2,426,legitimate
txn_00017,test,legitimate,13.69,17,11,53.9,1384,legitimate
txn_00018,train,legitimate,73.06,19,19,19.0,586,legitimate
txn_00019,test,fraud,108.55,23,20,61.9,1089,legitimate
txn_00020,train,legitimate,52.3,20,13,16.9,1165,legitimate
txn_00021,train,legitimate,8.91,23,21,49.6,1164,legitimate
txn_00022,test,legitimate,315.1,3,18,62.4,830,legitimate
txn_00023,train,legitimate,7.9,12,15,83.2,438,legitimate
txn_00024,test,legitimate,23.54,19,15,35.7,1248,legitimate
txn_00025,train,legitimate,6.0,7,6,1.3,1074,legitimate
txn_00026,train,legitimate,95.01,19,6,19.9,379,legitimate
txn_00027,train,legitimate,39.77,22,14,14.2,544,legitimate
txn_00028,train,legitimate,61.9,21,7,26.0,999,legitimate
txn_00029,train,legitimate,27.88,7,14,18.2,1133,legitimate
txn_00030,train,legitimate,23.8,19,18,9.5,59,legitimate
txn_00031,test,legitimate,30.35,7,7,105.7,1304,legitimate
txn_00032,train,legitimate,3.86,21,12,80.5,26,legitimate
txn_00033,train,legitimate,68.91,13,9,38.0,129,legitimate
txn_00034,train,legitimate,63.59,19,11,57.6,978,legitimate
txn_00035,train,legitimate,17.23,3,4,45.6,1210,legitimate
txn_00036,train,legitimate,25.21,3,15,4.6,683,legitimate
txn_00037,train,legitimate,34.45,10,18,33.3,526,legitimate
txn_00038,test,legitimate,122.78,14,15,9.9,1300,legitimate
txn_00039,train,legitimate,39.35,3,15,97.3,56,legitimate
txn_00040,train,legitimate,26.67,6,9,26.0,377,legitimate
txn_00041,test,legitimate,15.37,10,10,31.5,1048,legitimate
txn_00042,train,legitimate,5.69,16,15,21.6,966,legitimate
txn_00043,test,legitimate,14.09,21,16,3.3,1218,legitimate
txn_00044,test,legitimate,27.49,18,9,37.5,5,legitimate
txn_00045,train,legitimate,19.9,22,11,16.5,356,legitimate
txn_00046,train,legitimate,27.62,22,11,68.7,743,legitimate
txn_00047,test,legitimate,53.99,22,15,11.4,1017,legitimate
txn_00048,train,legitimate,39.61,20,5,38.5,1367,legitimate
